id,name,resource_type,identifier,publication_date,source,status,accessibility,country_of_study,keywords,created_time,author_team_size,source_display_name,source_id
rec9KnHuPgBSAc7St,113fbc1c89e4f94ce4c123bc20c9405e,"""journal article""",c35aeff8953f9d9d8a4a05844f2a2c62,2012-01-01,OpenAlex,published,NA,"""Mauritius""","""""",2023-06-20T22:37:03Z,5,5dac6ac779a35de5d25dc89b989f66c4,189c1c0e59dca56ccb7ab2df5432d4af
rec9Q73Zj87uAJQN0,5b7cd80f6c1478f87223a0eba3e73691,"""journal article""",7e4b83033e5884fc345ea6a8044cf313,2021-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:36:08Z,12,9a74a40d1f41d6b72f506b3e13b49719,9cd977bb59ce849f4621dd831d39c3b6
rec9SJxVl0DeqQ1ac,5bd6125b2fa0b46afdec81f0d2b52f59,"""journal article,review""",1e69bde320c3852d6483e814db3d6b21,2021-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:35:49Z,8,5c4b747e88501e0a40886f9e9e3400dd,f7aa655e2dbde6ac15524894e6f2f376
rec9U7BnOpCLOXNwj,38af1b9a24f0d0129576f98d260e96db,"""journal article""",ac10f09db4ed33abba158360203088f9,2016-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:36:24Z,2,876888846b8c8ab451c9a5fec888643d,883af1f730859e42dbbf6d515392ebc5
rec9UwOPvlij6lsOg,28ab9b9900bd525a80d11a85077dd35b,"""journal article""",002b3e6e9fe8179c042eb7ad4148f1e6,2014-01-01,OpenAlex,published,NA,"""United Kingdom""","""""",2023-06-20T22:36:22Z,8,90f04e51665b16315a09553972f1e268,1f3473303abe4d4222e6267248a64094
rec9XbOmBsuyEXt0z,14d182996f438db5313b017f1cb5f1ef,"""journal article""",e145467092e588e5821a8bdf2489e55e,2021-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:34:49Z,15,343707fe38e402327ff978cba525c8cd,36d6737baf92a6b8b9527b938da773f7
rec9t021I3PwH04VO,fbce20eba76ebe6919a4d0c8943cb497,"""journal article""",3db5c931b03c9cb001fde3daf2f4e49c,2014-01-01,OpenAlex,published,open access,"""Bangladesh""","""""",2023-06-20T22:34:54Z,17,5c4b747e88501e0a40886f9e9e3400dd,f7aa655e2dbde6ac15524894e6f2f376
rec9weLOPDvwEVmJN,aeed9714f5ee01ac1f79c2eaf5fac575,"""journal article""",f909f287f7059272681789389894504f,2019-01-01,OpenAlex,published,NA,"""Bangladesh""","""""",2023-06-20T22:34:36Z,17,a0736c63fd921deccacda04d410405cd,07cdbf87106fc92d543bb6835ed87b90
recA0mNfZKmV8xpSV,20ca7e772f89f0ee8a5b20b0cac77436,"""journal article""",e604ae899642d68a73025b81b54b9d84,2015-01-01,OpenAlex,published,open access,"""United States""","""""",2023-06-20T22:35:04Z,14,343707fe38e402327ff978cba525c8cd,36d6737baf92a6b8b9527b938da773f7
recA0oy6S2y0QA83A,f7c9b641b64438ea155a27c4146e1924,"""journal article""",435195137ec90c2d5b8e2d961ea7fa82,2020-01-01,OpenAlex,published,open access,"""Malaysia""","""""",2023-06-20T22:34:52Z,13,90f04e51665b16315a09553972f1e268,1f3473303abe4d4222e6267248a64094
recA9X1YEPo1YhfS7,4361ab9c20d8f4dbd46d3100a1f2878c,"""journal article""",752caf0798e9d043fdccf81b4f07edae,2018-01-01,OpenAlex,published,NA,"""Honduras""","""""",2023-06-20T22:36:56Z,7,23c85eef3273391316845c498e889bc8,46e099ab2f7e7d041ede823739774c92
recAA6onp4m3u640H,7248c5c5dcf09dc690023b74234a90b9,"""journal article""",7e1d56010cffb05b6590e5da8c3a3eb0,2019-01-01,OpenAlex,published,open access,"""Liberia""","""""",2023-06-20T22:36:35Z,4,03837e5981582ec437c101f002599641,c8f6ff3f134b7dfa2557323af6d5516a
recAJWzy2fuWsG6gZ,1a4ccac0b122dad71f5def2b0eab7353,"""journal article""",3cc4c6cd0adc724c4ff405f98f05e705,2014-01-01,OpenAlex,published,open access,"""Bangladesh""","""""",2023-06-20T22:34:48Z,11,1695300bec435fb944d7885e0e36263c,045a1485d181e37dfe31f567768c0f12
recAN6so9mhP033Q6,e72cf058ce19c0097fe59f6bc15db9f6,"""journal article""",16e0eedfbc64f564354a4e914a8dd93a,2015-01-01,OpenAlex,published,open access,"""Australia""","""""",2023-06-20T22:34:55Z,7,4f14ace3b4e001cf4f133142b81c618f,999a1f22c227c5885244eb93226e05e6
recARu4znhzORjawz,412d62b209573c09b4406c689da7d91f,"""journal article""",5069f6d9fc7bf1cf70375febe1e734e9,2012-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:34:25Z,19,4f14ace3b4e001cf4f133142b81c618f,999a1f22c227c5885244eb93226e05e6
recB1oo9KMjJluUYC,4d66b446f6c3a99f23c8a99a8a7e538e,"""journal article""",a18b4c9bf836a91bdd2a2d765293801a,2022-01-01,OpenAlex,published,NA,"""Bangladesh""","""""",2023-06-20T22:37:01Z,12,15f5991fe437fd37856cd1f5e2fcfa69,ec176b0bad795c1adf80c07a275adaec
recB49pMtYBRozRQp,8fc8e33ef39ba20cdd96de93b33e5b5f,"""journal article""",359a6dea8ec70eac0278e359924b2712,2020-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:34:41Z,4,4bfd83588026891c18dcaa0942cf5446,85c02b948df37ec3a5f45e5a5721bc56
recBGWxKETv3PE1Cu,e6f1aa0ac8a48476b994b1e2c463313e,"""journal article""",af67933694a14dde46a70e2060b0f8d9,2018-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:35:09Z,17,392a2067588430b908acdcfa01006f0c,757823b3fa475c0a6b163f1e974e82fe
recBJZxo5AFmEr6Or,106b5d0686e31bec8be986d0de274c9a,"""journal article""",18326edcf78940a3eab1e9ea288a5973,2014-01-01,OpenAlex,published,open access,"""Cameroon""","""""",2023-06-20T22:34:24Z,15,4bfd83588026891c18dcaa0942cf5446,85c02b948df37ec3a5f45e5a5721bc56
recBhgOqgAML4nVOB,5081ea09adccb207cd4a493b46e07bb9,"""journal article""",f3db06b30502cc79286a742bb90da8f9,2016-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:35:32Z,5,d5866731e29fad9defc83c517701096d,006b7971626504d3228a039b941f0cdb
recBnSYBLnYNStDm4,59d92626c04622b3592d14255ed677f6,"""journal article""",7d01a15c3a960584a73d26b8b43b1dc9,2014-01-01,OpenAlex,published,open access,"""Saudi Arabia""","""""",2023-06-20T22:34:13Z,15,343707fe38e402327ff978cba525c8cd,36d6737baf92a6b8b9527b938da773f7
